,Category,Text,Classification
150077,Etnia,@AndreJanonesAdv @LuksLeonardoArt A @RevistaISTOE revelou isso lá por 2019. The Jewish Connection.,
150078,Homofobia,daora pra cacete todo mundo da família falando que era drama eu com minha mão ai chega o médico ja batendo pau na mesa mandando eu tomar medicamento pra recuperar os músculo pq tava tudo fodido amassado arregassado,
150079,Assedio,Yo no sé qué tienen algunos vatos en la cabeza que cuando ya son padres de familia prefieren seguir en la mierda y de puta en puta qué enfocarse en sus hijos,
150080,Capacitismo,@tinareca fala isso pq é libriana metade das pessoas que conheci/conheço eram/são de libra e dessa metade 2/3 foderam com a minha cabeça,
150081,Capacitismo,Minha mãe quando sonha com alguém do nosso povoado é sinal de q ou esse alguém ou pessoa próxima vai morrer. 🙃🙂 Essa noite ela sonhou com Leninha de Zé ceguinho...  Já falei pra ela aceitar esses poderes paranormais.  🙂,
150082,Calunia,@lopezobrador_ Qué bueno que no la tumbaste. Lo único vacío es tu cerebro! Holgazán ignorante y servil!,
150083,Xenofobia,"o tanto de gente que me chamou hj de ""japa coreano..."" nao tá escrito",
150084,Assedio,Sim puta merda https://t.co/c3wp1G96gs,
150085,Capacitismo,@oppscausey mas eu ja faço em federal mongoloide https://t.co/qrm3fwzPMm,
150086,Capacitismo,or cats https://t.co/x6OI7PtMq5,
150087,Calunia,@ElChamacoManco @mariaFFreijo Cállate cornudo.,
150088,Capacitismo,sou uma trouxa uma idiota mesmo to desde cedo fazendo papel de boba tá certo kkk,
150089,Xenofobia,@yosoydelbarce_ da una explicación detallada del porqué y cómo considerar el viaje a #Qatar como accesible. José Martín NO es el compatriota del video que a mi parecer contesta sarcásticamente al periodista argentino 😛😛😛 https://t.co/cRytUKWXkg,
150090,Sexismo,@SandraCuevas_ Caramba les faltaron las dragsla reina de Dinamarca y una que otra meretriz que rara sororidad entre mujeres y discriminación. Porqué no premiaron a Tere Vale toda una institución o a Dresser? Acaso no son amigas y paleras?,
150091,Capacitismo,¡Muy bien dicho!.  La historia es la que es y no la que quieren que sea.  Menuda carita se le ha quedado al señorito analfabeto de Vox. ♥️💛💜 https://t.co/FUYjslu4I9,
150092,Assedio,@draselinacrf Gata Chupadeira?,
150093,Homofobia,N viadão nergo até hj,
150094,Sexismo,@choquei 2,
150095,Calunia,Tô completamente disformico e me sentindo nojento e fedido porque tô em período depressivo e não tô conseguindo me cuidar direito :(,
150096,Politica,@delfinagomeza Cínica ratera queda bien siendo que eres súper falsa e hipócritaeres corrupta y ratera de salariosDelfina es una delincuente y protegida por el jefe de la pandilla el kk’s,
150097,Calunia,@HirotaAdriano opa a dm ta fechada mas eu só queria a informação do valor mesmo para ter uma ideia,
150098,Xenofobia,minha janta d hoje vai ser pipoca doce e se bater fome um miojo de galinha caipira ou um cupnoodles,
150099,Calunia,@Gabo_once @bigcock_20cm @RegiolandiaMTY Aunque tiene pinta de malandro no?,
150100,Assedio,@2908collector o set original foi uns 5$ eu acho? então acho q uns 25 os concept e 30 os selfies no máximo e uns 5/10 os raspadinha se rolar,
150101,Politica,@Marcela_Feraud @martibatres No  no sé . Lo que si se es que Claudio no cumplió con la promesa de darles 500 pesos . Solo les dió 200 . Iinche lacra corrupta .,
150102,Capacitismo,@radim1922 Jses debil pičo,
150103,Capacitismo,@borderline_slut @yooon_Oi @pipokinhaberry @ghostiekcal KKKKKKHHJKKKKKKKHHJKKK vai tpmar no cu pq absolutamente ngm pensa dessa maneira sobre o clepto mas pensando ou nao continua sendo a maior estupidez😹😹😹,
150104,Xenofobia,black is everything. https://t.co/mGv2ocaYI0,
150105,Sexismo,@acherequinha a gente vida,
150106,Calunia,@miriamleitao Será que foi esse o esquema Miria? Deixar os deputados e fraudar só o presidente pra não dar na cara. Em Minas um deputado teve mais voto do que o presidente. Como pode isso? A pessoa vota na polícia pra deputado e no ladrão pra presidente? Eu não engulo essa,
150107,Calunia,@022_caua @choquei Tem pais hoje em dia que nem adianta vc nascer pra ser considerado com a nacionalidade desse pais o unico burro aqui eh vc seu retardado ignorante,
150108,Etnia,@fvcc__ Toda a hora a denegrir imagem,
150109,Homofobia,ai gente eu tenho uma mania mto feia de chamar todo mundo d viado,
150110,Calunia,@poordart @ratweII @219_eth Epstein also donated to dems though,
150111,Etnia,Ontem foi o dia em que eu pude conhecer abraçar chorar e ser afetado pela existência radiante da grande @_MayraAndrade_! Ela que embalou noites de escrita e me ensinou - sem saber - a melhor compreender o crioulo. Quantas emoções!!! https://t.co/5DLfM5g3LO,
150112,Capacitismo,eu passo muito mal com a síndrome de sou a única artista desse país e ngm pode ser maior do que eu que essa mondronga tem. ela faz tudo ser sobre ela bicho,
150113,Capacitismo,@cashchixt Só tem mondrongo,
150114,Capacitismo,@federalzin_07 vc é retardado? só pode,
150115,Sexismo,nossa que odio da gp de verdade o descaso q essa rampeira faz com meu pai é ridículo que protagonista é esse meu deus,
150116,Sexismo,@my_cat_is_kira me marca pliss,
150117,Calunia,Duro de o @LulaOficial não participar do debate é não poder dar na cara desse povo todo que insiste em dizer que ele roubou o Brasil.  Demonizam o PT como se ELE tivesse inventado a corrupção e a ladroeira na política do pais.  E Padre Kelmôn fazendo massagem no Bozonaro.,
150118,Calunia,BOLSONARO CORNO https://t.co/3pnusPIppN,
150119,Capacitismo,@bbellyamorim Tô aleijada por enquanto mas deixa eu voltarrrrrrr 🥳🥳🥳,
150120,Homofobia,@posritions sendo que já tinha um veado o ano todo .,
150121,Xenofobia,Países participantes do exercício do posto de comando estratégico #Vostok 2022: 🇷🇺 Rússia    🇦🇿 Azerbaijão   🇩🇿 Argélia  🇦🇲 Armênia    🇧🇾 Bielorrússia    🇮🇳 Índia  🇰🇿 Cazaquistão    🇰🇬 Quirguistão 🇨🇳 China   🇱🇦 Laos    🇲🇳 Mongóis    🇳🇮 Nicarágua  🇸🇾 Síria via  @mansour_elyon https://t.co/fvXjAdavHa,
150122,Calunia,@brom_elisa Lula ladrao seu lugar e na PRiSAO!!!,
150123,Capacitismo,"Usuário:Mfsn: Tigermaster bloqueou ""Mfsn (Discussão | contribs)"" com tempo de expiração em ""indefinido (criaçã... http://t.co/FAvZAGgEKE",
150124,Calunia,@kelvimescobar Un jugador que ya tiene más de 15 años jugando uno como fanatico los admira y apoya pero con solo un día como este sasssss pierde toda estima y admiración 15 años de carrera para perder su ejemplo de jugador,
150125,Sexismo,Hoje o sono está me consumindo 😴,
150126,Capacitismo,lezado so vai ir pra cima o suficiente,
150127,Sexismo,bando de meretriz de baixo escalão.,
150128,Xenofobia,@_maryyneves para de judiar do nosso time,
150129,Homofobia,que viadagem é essa de koo,
150130,Religião,nem meio dia e o povo falando que branco não tem orixá véi macumbeiro não tem paz nem em dia de sexta feira,
150131,Assedio,@naletxicia quando vc é fofa porém rabudona https://t.co/XuoPVpejZB,
150132,Capacitismo,@bo_om_a @biazinhagamepl1 Outra vítima passei umas duas semanas levemente aleijada,
150133,Capacitismo,@Berny_mx @lamolechida Por qué? Si también es un espacio en cuál expresarse que la gente sea doble moral y estúpida tanto a si que hacen lo que critican,
150134,Etnia,@DrLalibrahim الله يرحمه ويغفر له ويسكنه فسيح جناته. اللهم أمين.,
150135,Capacitismo,@donofriojorge @matiastombolini @SergioMassa @FrenteRenovador @SomosFR @FRenTODOS @ComercioArg @Economia_Ar Pero como va a llevar una metodologia que tiene mileños de antecedentes de fracasos?? Increible el grado de estupidez korrupcion ignorancia  imbecilidad e irrespnsabilidad de todos los mafiosos y lumpenes de este mamarracho excecrable de gobierno y sus acolitos,
150136,Xenofobia,@eduardopaes Cadê os responsáveis pela ordem desse país tupiniquim?,
150137,Homofobia,meu insta tá de viadagem po nao quer abrir,
150138,Xenofobia,⚽️ #PrimeraNacional (Final por el Ascenso a la Primera División del Fútbol Argentino):  Instituto (Córdoba) 1(1) (Alarcón) - Estudiantes (Caseros) (1)1 (Randazzo). FINAL.  Instituto se consagró campeón del Reducido y ascendió a la Liga Profesional de Fútbol.,
150139,Xenofobia,@rabbitgukkie @mostachico 😋😋😋😋😋😋 pastel de flango nooo,
150140,Calunia,gritan cornuda y c da la vuelta,
150141,Sexismo,@danielmedpaixao @77_frota Rapaz eu vi um que ele comia um traveco,
150142,Capacitismo,@_3Gramos PEGUE*** DECIS SORETE? SIEMPRE LOS TROLL0S INCITANDO A LA VIOLENCIA. LA MISANDRIA CONTRA VARONES.. VA CON SU DISFORIA MENTAL ANORMAL.   SI ALFA LE METE UNA PIÑA A TU ROMINA TE PAJEAS CERDO...‼️XQ NO TE LAVAS ORTO ANTES DE METERTE CON ALFA... CONCHIDITO PARÁSITO ESCORIA INMUNDA..,
150143,Assedio,a karol conka se acha muito bocetuda não aguento,
150144,Sexismo,@i4dhvr Teu rabo sua rapariga imunda😡😡😡😡🖕🖕🖕🖕🖕🖕🖕🖕🖕,
150145,Capacitismo,@RayoRebeldee ?? E por isso msm kd o povo de “esquerda” p cancelar eles? kd os movimentos canceladores? Nao existe. Isso é algo importante de vdd cancelar um ze ngm q nem o Monark é fácil agora nao deixar a copa do mundo acontecer num pais onde gay é tratado igual leproso na epoca da bilbia,
150146,Homofobia,/berro de veada brava,
150147,Calunia,@chinaskiwiesler cerra el orto cornudo,
150148,Xenofobia,@doguinhafp10 @marciosousa_ Esse que inventou é bom demais no marketing! Tiro no pé!! Depois dizem que baiano  que faz baianada!,
150149,Homofobia,@mike_viadao 😭😭,
150150,Etnia,@hesanjo @nikolas_dm É falou com os pais delas tentar denigrir imagem do presidente é feio. TSE já comprovou toda a conversa e vídeo. Mais um combate a prostituição infantil.,
150151,Politica,Indígena corrupta secuestradora y ratera… https://t.co/AApqvk4z2k,
150152,Calunia,@mairacardi20 @Aovibees @ttdavargas Sim essa corna aí,
150153,Sexismo,@alicwg3 iam me retalhar me amassar me processar me chamar de vadia feia inutil por essa eu n passo,
150154,Politica,@GabrielKustow Projetinho de Facista! Perdeu Mane!’,
150155,Sexismo,@fcocambraia Você pior rampeira,
150156,Xenofobia,@brunogarces @matheusbarbaco @brunogarces veremos um te intenso em campo com ele? 90 min de intensidade cm o galo do Sampaoli? Ele é agitado do lado de fora do campo ou quieto cm o Turco?,
150157,Capacitismo,@AerymMichelle ESTÁ BONITO COÑO AAAAAAAAAAAAA,
150158,Calunia,@tt_gabyy tá mas ela não é fedida cr,
150159,Capacitismo,Twitter tem que acabar mesmo. Só tem flamenguista retardado nessa porra https://t.co/CIBfQ14jZB,
150160,Capacitismo,@rochaperiodista Chinga tu madre frenton estúpido.,
150161,Calunia,@RealGamerduck I did think about Robot Chicken but I could not believe it was really them. Had to check the comments lol,
150162,Capacitismo,A bichinha ficou aidética,
150163,Capacitismo,foi assim que começou meu namoro (a debilóide sou eu) https://t.co/IuEEC7ylC5,
150164,Capacitismo,¿Saben algo que me daría risa por lo estúpido y descabellado que sería? Que así como hay Separatistas catalanes que se la pasan falseando su propia historia como que Cristóbal Colón era catalán y burradas así que salgan unos ucranianos a decir que ellos eran los Pueblos del Mar.,
150165,Assedio,@existircansa Tô querendo saber tb,
150166,Xenofobia,@GwrritHxltmann Passar no Enem não me dá o direito de esfregar na cara de gringo,
150167,Assedio,@juuraamos KKKKKKKK EIIIII,
150168,Capacitismo,@valentina_real Que horror!!! Tem pessoas que não podem assistir reality. Por isso tbm não assistofico só com o BBB e já estou doida para ver o #BBB23 tem toxidade? https://t.co/P7CVX3WSXy assistomas não trago pra vida. Torço saudável.,
150169,Capacitismo,@henriolliveira_ Falta de consciência de classe se transforma nisso aí. O Agro é podre.,
150170,Capacitismo,Olha só como tá zoado essa porcaria. 🤬🤬 https://t.co/AR9KqoRLvm,
150171,Capacitismo,@GelsonB16954432 @naldonobilis Pra entrar pra facção tem que ser analfabeto funcional! Cpx! #oamorvenceuoodio,
150172,Homofobia,inferno buceta caralho capeta porra merda lixo nojo viado demônio peste bubônica,
150173,Xenofobia,@xkareo Sou do tempo que o pessoal falava que eu estava usando xingling por ter comprando um Xiaomi em 2014. Kkkk.,
150174,Homofobia,Essa gazela merece respeito Randolf parece mais com um veado. https://t.co/PYk4LlkUC6,
150175,Assedio,sou a mc pipoquinha sou safada e tenho piercing na,
150176,Xenofobia,nunca vo esquecer do baiano (entidade) da minha mãe falando q se eu morresse agora eu ia levar gente junto comigo,
150177,Homofobia,@mike_viadao MDS kkkkkkkkkkkkkkkkk,
150178,Calunia,@DoraKramer Uma pergunta conhecendo o passado do meliante você esta surpresa?,
150179,Sexismo,@thvcutz Eu já avisei pra todo mundo deixar as televisões ligadas pra ver o jungkook,
150180,Assedio,@ju_marquesx_ coloquei a colher q tava quente na boca né queimou ess prr e comi um bglh quente tá doendo home,
150181,Sexismo,ESLI POSTA LOGO A NOTA MUIE,
150182,Capacitismo,"O coração tuberculoso de Dom Pedro I veio pro Brasil? É sério? A verdade é ""Meus herois não viraram estátua morreram lutando contra quem virou""...",
150183,Capacitismo,@yasmin047764569 Você não perdeu 2 seguirvocê se livrou de dois imbecil,
150184,Xenofobia,@derflecha Os caras no desespero estão fugindo pra onde dar Cazaquistão Quirguistão Uzbequistão Azerbaijão Mongólia. A coisa muda quando a água bate na bunda.,
150185,Assedio,@catiacarvalhoof Eita cuzuda 💍🔥,
150186,Calunia,@RegisChespi_5 JAJJAJSAJ regis pelado gordo trolo  cornudo y troseitor sucio 🤣,
150187,Homofobia,@mike_viadao 3.,
150188,Capacitismo,album novo da bibi🙏,
150189,Calunia,"FARSA! A imprensa brasileira mentiu para população. O ""suposto eleito"" NÃO foi convidado para o COP27 e nunca esteve na programação do evento.   Uma ONG chamada Amazônia Livre o levou para falar em ambiente fechado na bolha petista.   O marginal nunca falou no púlpito do evento. https://t.co/RBLMRCjjWI",
150190,Capacitismo,@vascogoni92 @sdeuvarow @Frente_Amplio No imbécil ni yo ni Simón gobernamos y ambos discrepamos y firmamos para llevar adelante plebiscitos en gobiernos FA aparte de militar en contra del gobierno cuando lo creímos necesario. Que vos seas un chupa pija de un gobierno no significa que el resto practiquemos lo mismo.,
150191,Capacitismo,estoy demente,
150192,Calunia,@kookscnv 🥰🤨 Começou no amor mas acho que tava semdo corna viu,
150193,Sexismo,Só pra quem curtiu History 3: Trepadeira. 🛐😩🤤 https://t.co/uJi8WG4azO,
150194,Capacitismo,@Wiskt1 Ce é lerdo demais véi kkkkkkkk,
150195,Aparencia,@andyamagatos Como assim não foi vc?  Mas eu realmente melhorei um pouco era bem feia na época,
150196,Homofobia,@felipeneto Viadão.,
150197,Xenofobia,Esse friozinho veio pra judiar viu? 🥺,
150198,Capacitismo,To retardado,
150199,Capacitismo,perfil visualizado por 8 pessoas https://t.co/LScwhN0fBe,
150200,Xenofobia,curto que qualquer coisa q o nct faz de pijama eles tem q fazer com esses da sanrio uns marmanjo com pijaminha da hello kitty adorei https://t.co/CTTf8jlgoW,
150201,Assedio,raspadinha ☺️ limpinha 🥴,
150202,Capacitismo,I CAN BE YOUR ANGLE OR YOUR DEBIL  Starting the new horror game 'The Devil In Me' in 10 minutes with @AishaSpades   #horror #vtuber #Vtubers https://t.co/P7oFKCKcuw,
150203,Capacitismo,@Valentina_Buiar A Reis é muito doida mano kkkk,
150204,Capacitismo,@LaHocikona2022 @ferna_virginia @shagotwit @isidoraalcalde Buenas saco de wea ctm parece que el hocico lo tienes a nivel leproso feo ql,
150205,Calunia,@deftsu01 no probaste con la de dejar de ser una cornuda amiga?,
150206,Homofobia,se tivesse um veadao estampado na camisa ia ser mais linda ainda mas fodase vou comprar https://t.co/TJYCyj6Qt5,
150207,Capacitismo,@JoseMedeirosMT Isso do pode ser debilmental ou melhor um bando de delinquentes ladroes,
150208,Sexismo,@npgxgi to terminando sua mocrea,
150209,Calunia,cornisse,
150210,Xenofobia,"@E005yt @ailzeitona @__morohaa @_iago_torres @louyseoliver @blzvsf Vcs literalmente que fazem bullying com baiano chamando tudo de zoado e ruim de ""baianada"" chama baiano de preguiçoso e vem falar de bullying ? Vcs que começaram com isso aqui é só reflexo de como fomos tratados",
150211,Xenofobia,@FlaviaMSoares76 Faço protocolo da Dr. Lucy Kerr nunca peguei o   xingling.,
150212,Sexismo,e aquela bicha feia foi fala dos adolescentes da Netflix  ISSO AQUI PARECE UM ADOLESCENTE??? https://t.co/Bj6LayJgTa,
150213,Assedio,Kim Dahyun tava muito boazuda na feel special era 🗣   #TWICE #dahyun https://t.co/n0RMKW4Su9,
150214,Capacitismo,@SecchanOG @KINoN207311 Jajja simon pinche anime todo estúpido,
150215,Homofobia,Desgraça de ansiedade,
150216,Capacitismo,Esse cara tá zoado https://t.co/QHp4veNfL8,
150217,Capacitismo,Deslistas:Coisas que podem matar um Mafagafo:  ← Versão anterior Edição de 00h11min de 28 de maio de 2015 ... http://t.co/ODtQsydSYk,
150218,Sexismo,@docinhofake Bicha Que mulher,
150219,Capacitismo,na época na faculdade eu só olhava pra esses boys seth cohen energy kkkkk se fosse lerdo então nossa https://t.co/qBehA8Qi9U,
150220,Capacitismo,Gracias por todo Juanchón. https://t.co/A48D5QCEFp,
150221,Etnia,petição para voltar a ter barquinhos no parque da macaca https://t.co/tC9C0I38kJ,
150222,Calunia,@CtrlParizzoto vou me joga na bosta e ir na sua casa p vc ver o fedorenta,
150223,Assedio,eita como é boazuda https://t.co/bczJQ3ssd6,
150224,Xenofobia,Putin realizará uma reunião trilateral em Astana amanhã com os líderes do Quirguistão e do Tadjiquistão para discutir a situação na fronteira disse Ushakov seu assistente para política externa.,
150225,Aparencia,como pode um grupo ser tao horrendo podre feiozo flopado como blackswan enfiando mais uma brasileira numa coisa que não deu certo antes https://t.co/kk6gB84X4T,
150226,Xenofobia,@MarcoSouthern @Girardi56967012 Bom dia irmão.,
150227,Xenofobia,@follow_me_Japa 残像,
150228,Xenofobia,o poder tbm podia ser indicar o 4 roceiro mas nem isso... pqp... zero emoção #RoçaAFazenda,
150229,Calunia,@mysteriouskat @elonmusk Sure why not?,
150230,Capacitismo,@NodbaTemha1909 @agvdo @Vasco_1898_CRVG @BiodiversidadeB Jogar a aidética da sua progenitora pra estrear o fogo rs,
150231,Capacitismo,@FabiKjjkk VAI SE FUDER LEPROSA TU É MTO É FALSA NÃO ERA PRA TER DEIXADO🖕🏽,
150232,Calunia,@fermferdinardz O sea de q no sos cornudo,
